,precision,recall,f1-score,support
Angry,0.5136286201022147,0.6294363256784968,0.5656660412757973,958.0
Disgust,0.5714285714285714,0.6126126126126126,0.591304347826087,111.0
Fear,0.5229645093945721,0.4892578125,0.5055499495459133,1024.0
Happy,0.8238227146814404,0.8382187147688839,0.8309583682592903,1774.0
Sad,0.5973724884080371,0.6269261962692619,0.6117926394934705,1233.0
Surprise,0.5580221997981837,0.44346431435445066,0.4941912421805183,1247.0
Neutral,0.7897252090800478,0.7954271961492179,0.7925659472422062,831.0
accuracy,0.647255502925606,0.647255502925606,0.647255502925606,0.647255502925606
macro avg,0.625280616127581,0.6336204531904176,0.6274326479747546,7178.0
weighted avg,0.6465780932087456,0.647255502925606,0.6448265881068174,7178.0
