,precision,recall,f1-score,support
Angry,0.533678756476684,0.5375782881002088,0.5356214248569943,958.0
Disgust,0.6746987951807228,0.5045045045045045,0.5773195876288659,111.0
Fear,0.5,0.46875,0.4838709677419355,1024.0
Happy,0.855255600229753,0.8393461104847801,0.8472261735419631,1774.0
Sad,0.6511397423191279,0.5328467153284672,0.5860838537020517,1233.0
Surprise,0.464035646085296,0.5846030473135525,0.517388218594748,1247.0
Neutral,0.773851590106007,0.7906137184115524,0.7821428571428571,831.0
accuracy,0.6384786848704375,0.6384786848704375,0.6384786848704375,0.6384786848704375
macro avg,0.6360943043425129,0.6083203405918666,0.6185218690299166,7178.0
weighted avg,0.6464137188775766,0.6384786848704375,0.6399353742768158,7178.0
